Symbol,Current Price,24h Change %,7d Change %,Trend,Volatility,RSI_14,Support,Resistance,Signals
XAUT-USDT,4367.3,0.7543948691920876,-2.185939214764032,下跌,1.118008456312252,51.69899158207523,4191.425,4426.075,[]
NIGHT-USDT,0.096608,-0.5568765504534223,29.470101048004494,上漲,0.0,83.73322249935423,0.049134,0.0927145,[]
XRP-USDT,1.8667,0.0589622641509413,0.17171988194257803,下跌,2.745325327486183,39.66674066894648,1.850225,2.11855,[]
USDC-USDT,1.001,0.029979014689707206,0.06997900629810427,上漲,0.01379448447424509,72.31128351579787,0.9996,1.000575,[]
DOGE-USDT,0.12464,0.4270405285633716,-2.920788223381887,下跌,3.5038860122907143,37.03957545918419,0.12586999999999998,0.146375,[]
BTC-USDT,87955.9,0.30700208811598184,1.0486758858542444,上漲,2.3480618064809664,45.741756129922074,86590.825,92179.75,[]
ETH-USDT,2983.04,1.6132548506649247,1.9633579436696857,上漲,3.3686791204594426,47.96465000953684,2892.7999999999997,3169.835,[]
SOL-USDT,124.9,1.174564601053052,1.7515274949083448,上漲,3.3379795018483676,43.32197264805222,122.375,139.6275,[]
ADA-USDT,0.3554,-2.789934354485768,-0.08434073657577201,下跌,4.8170323055371815,38.56058541390391,0.356225,0.4307,[]
SUI-USDT,1.4411,-0.5108733172247026,1.8445229681978814,上漲,5.546720452063352,43.64834596271862,1.3945,1.656225,[]
